base_bid,impressions,cost,clicks,ctr,cpc
0.4,71,0,0,0,NA
0.5,76,0.005,0,0,Inf
0.6,99,0.028,0,0,Inf
0.7,153,0.102,0,0,Inf
0.8,280,0.776,5,0.0178571428571429,0.1552
0.9,564,2.425,7,0.0124113475177305,0.346428571428571
1,768,3.539,7,0.00911458333333333,0.505571428571429
1.1,962,4.52,7,0.00727650727650728,0.645714285714286
1.2,1075,5.068,7,0.00651162790697674,0.724
1.3,1166,5.503,8,0.00686106346483705,0.687875
1.4,1216,5.805,8,0.00657894736842105,0.725625
1.5,1267,6.174,8,0.00631412786108919,0.77175
1.6,1319,6.59,8,0.00606520090978014,0.82375
1.7,1368,6.985,8,0.00584795321637427,0.873125
1.8,1426,7.391,8,0.00561009817671809,0.923875
1.9,1503,7.956,8,0.0053226879574185,0.9945
2,1592,8.508,8,0.0050251256281407,1.0635
2.1,1704,9.308,8,0.00469483568075117,1.1635
2.2,1784,9.925,8,0.00448430493273543,1.240625
2.3,1856,10.507,8,0.00431034482758621,1.313375
2.4,1983,11.225,8,0.00403429147755925,1.403125
2.5,2131,12.466,8,0.00375410605349601,1.55825
2.6,2254,13.392,8,0.00354924578527063,1.674
2.7,2352,14.022,8,0.00340136054421769,1.75275
2.8,2491,15.313,8,0.00321156162183862,1.914125
2.9,2631,16.482,8,0.00304066894716838,2.06025
3,2753,17.314,8,0.00290592081365783,2.16425
3.1,2903,18.787,8,0.00275576989321392,2.348375
3.2,3014,19.776,8,0.0026542800265428,2.472
3.3,3121,20.852,8,0.00256328099967959,2.6065
3.4,3269,22.223,8,0.00244723156928724,2.777875
3.5,3431,23.897,8,0.00233168172544448,2.987125
3.6,3599,25.194,8,0.00222283967768825,3.14925
3.7,3707,26.376,8,0.00215807930941462,3.297
3.8,3852,28.24,8,0.00207684319833853,3.53
3.9,4009,30.09,8,0.00199551010226989,3.76125
4,4166,31.928,8,0.00192030724915987,3.991
4.1,4309,33.259,8,0.00185657925272685,4.157375
4.2,4447,34.752,8,0.001798965594783,4.344
4.3,4602,36.387,8,0.00173837461973055,4.548375
4.4,4804,39.4,8,0.00166527893422148,4.925
4.5,4996,41.44,8,0.00160128102481986,5.18
4.6,5160,43.053,9,0.00174418604651163,4.78366666666667
4.7,5346,45.62,9,0.00168350168350168,5.06888888888889
4.8,5534,47.82,9,0.00162631008312252,5.31333333333333
4.9,5726,50.71,9,0.00157177785539644,5.63444444444444
5,5877,52.912,9,0.00153139356814701,5.87911111111111
5.1,6034,55.093,9,0.00149154789526019,6.12144444444445
5.2,6224,58.125,9,0.00144601542416452,6.45833333333333
5.3,6375,59.694,9,0.00141176470588235,6.63266666666667
5.4,6559,61.91,9,0.0013721603903034,6.87888888888889
5.5,6714,63.732,10,0.00148942508191838,6.3732
5.6,6876,65.748,10,0.0014543339150669,6.5748
5.7,7036,68.13,10,0.00142126208072769,6.813
5.8,7247,70.406,10,0.0013798813302056,7.0406
5.9,7426,72.293,10,0.00134661998384056,7.2293
6,7579,74.471,10,0.00131943528169943,7.4471
6.1,7751,76.588,10,0.00129015610888918,7.6588
6.2,7904,78.389,10,0.00126518218623482,7.8389
6.3,8067,80.449,10,0.00123961819759514,8.0449
6.4,8247,83.297,10,0.00121256214380987,8.3297
6.5,8409,85.714,10,0.00118920204542752,8.5714
6.6,8587,88.195,10,0.00116455106556423,8.8195
6.7,8752,90.293,10,0.00114259597806216,9.0293
6.8,8969,93.268,10,0.00111495149960977,9.3268
6.9,9161,95.579,10,0.00109158388822181,9.5579
7,9296,98.117,10,0.00107573149741824,9.8117
7.1,9479,100.685,10,0.00105496360375567,10.0685
7.2,9684,102.88,10,0.00103263114415531,10.288
7.3,9854,105.26,10,0.0010148163182464,10.526
7.4,10090,107.729,10,0.000991080277502478,10.7729
7.5,10225,109.92,10,0.00097799511002445,10.992
7.6,10441,112.532,10,0.000957762666411263,11.2532
7.7,10612,114.874,10,0.000942329438371655,11.4874
7.8,10816,117.18,10,0.000924556213017751,11.718
7.9,10966,119.285,10,0.000911909538573773,11.9285
8,11145,121.848,10,0.000897263346792284,12.1848
8.1,11321,124.351,10,0.000883314194859111,12.4351
8.2,11476,126.893,10,0.000871383757406762,12.6893
8.3,11621,128.989,10,0.00086051114361931,12.8989
8.4,11764,131.67,10,0.000850051003060184,13.167
8.5,11950,134.097,10,0.000836820083682008,13.4097
8.6,12117,136.909,10,0.000825286787158538,13.6909
8.7,12288,139.528,10,0.000813802083333333,13.9528
8.8,12432,142.014,10,0.000804375804375804,14.2014
8.9,12576,144.381,10,0.000795165394402036,14.4381
9,12782,146.788,10,0.000782350179940541,14.6788
9.1,12931,149.16,10,0.000773335395561055,14.916
9.2,13081,151.582,10,0.000764467548352572,15.1582
9.3,13275,154.719,10,0.000753295668549906,15.4719
9.4,13441,156.801,10,0.00074399226248047,15.6801
9.5,13565,158.831,10,0.000737191301142647,15.8831
9.6,13764,161.952,10,0.000726532984597501,16.1952
9.7,13971,164.346,10,0.000715768377353089,16.4346
9.8,14118,167.034,10,0.000708315625442697,16.7034
9.9,14250,169.829,10,0.000701754385964912,16.9829
10,14407,172.558,10,0.000694107031304227,17.2558
10.1,14567,174.858,10,0.000686483146838745,17.4858
10.2,14723,177.714,10,0.0006792094002581,17.7714
10.3,14859,179.719,10,0.000672992798977051,17.9719
10.4,14984,182.468,10,0.000667378537106247,18.2468
10.5,15171,184.626,10,0.000659152330103487,18.4626
10.6,15295,186.771,10,0.0006538084341288,18.6771
10.7,15442,189.039,10,0.000647584509778526,18.9039
10.8,15618,191.754,10,0.000640286848508132,19.1754
10.9,15833,194.863,10,0.000631592244047243,19.4863
11,15968,197.196,10,0.00062625250501002,19.7196
11.1,16063,199.458,10,0.000622548714436905,19.9458
11.2,16195,201.854,10,0.000617474529175672,20.1854
11.3,16388,204.847,10,0.00061020258725897,20.4847
11.4,16517,207.073,11,0.00066598050493431,18.8248181818182
11.5,16645,209.65,11,0.000660859116851907,19.0590909090909
11.6,16780,211.886,11,0.00065554231227652,19.2623636363636
11.7,16983,215.058,11,0.000647706530059471,19.5507272727273
11.8,17134,217.373,11,0.000641998365822342,19.7611818181818
11.9,17310,219.969,11,0.000635470826112074,19.9971818181818
12,17451,222.467,11,0.000630336370408573,20.2242727272727
12.1,17596,225.332,11,0.000625142077744942,20.4847272727273
12.2,17759,228.384,11,0.000619404245734557,20.7621818181818
12.3,17979,231.628,11,0.000611824906835753,21.0570909090909
12.4,18121,234.562,11,0.000607030517079631,21.3238181818182
12.5,18209,236.602,11,0.000604096875171618,21.5092727272727
12.6,18319,238.728,11,0.000600469457939844,21.7025454545455
12.7,18479,241.674,11,0.000595270306834785,21.9703636363636
12.8,18663,244.742,11,0.00058940148957831,22.2492727272727
12.9,18814,247.749,11,0.00058467098968853,22.5226363636364
