base_bid,impressions,cost,clicks,ctr,cpc,CPM
0.4,71,0,0,0,NA,0
0.5,76,0.005,0,0,Inf,0.065789474
0.6,99,0.028,0,0,Inf,0.282828283
0.7,153,0.102,0,0,Inf,0.666666667
0.8,280,0.776,5,0.017857143,0.1552,2.771428571
0.9,564,2.425,7,0.012411348,0.346428571,4.29964539
1,768,3.539,7,0.009114583,0.505571429,4.608072917
1.1,962,4.52,7,0.007276507,0.645714286,4.698544699
1.2,1075,5.068,7,0.006511628,0.724,4.714418605
1.3,1166,5.503,8,0.006861063,0.687875,4.719554031
1.4,1216,5.805,8,0.006578947,0.725625,4.773848684
1.5,1267,6.174,8,0.006314128,0.77175,4.872928177
1.6,1319,6.59,8,0.006065201,0.82375,4.996209249
1.7,1368,6.985,8,0.005847953,0.873125,5.105994152
1.8,1426,7.391,8,0.005610098,0.923875,5.183029453
1.9,1503,7.956,8,0.005322688,0.9945,5.293413174
2,1592,8.508,8,0.005025126,1.0635,5.344221106
2.1,1704,9.308,8,0.004694836,1.1635,5.462441315
2.2,1784,9.925,8,0.004484305,1.240625,5.563340807
2.3,1856,10.507,8,0.004310345,1.313375,5.661099138
2.4,1983,11.225,8,0.004034291,1.403125,5.660615229
2.5,2131,12.466,8,0.003754106,1.55825,5.849835758
2.6,2254,13.392,8,0.003549246,1.674,5.941437445
2.7,2352,14.022,8,0.003401361,1.75275,5.961734694
2.8,2491,15.313,8,0.003211562,1.914125,6.147330389
2.9,2631,16.482,8,0.003040669,2.06025,6.264538198
3,2753,17.314,8,0.002905921,2.16425,6.289139121
3.1,2903,18.787,8,0.00275577,2.348375,6.471581123
3.2,3014,19.776,8,0.00265428,2.472,6.561380226
3.3,3121,20.852,8,0.002563281,2.6065,6.681191926
3.4,3269,22.223,8,0.002447232,2.777875,6.798103396
3.5,3431,23.897,8,0.002331682,2.987125,6.965024774
3.6,3599,25.194,8,0.00222284,3.14925,7.000277855
3.7,3707,26.376,8,0.002158079,3.297,7.115187483
3.8,3852,28.24,8,0.002076843,3.53,7.33125649
3.9,4009,30.09,8,0.00199551,3.76125,7.505612372
4,4166,31.928,8,0.001920307,3.991,7.663946231
4.1,4309,33.259,8,0.001856579,4.157375,7.718496171
4.2,4447,34.752,8,0.001798966,4.344,7.814706544
4.3,4602,36.387,8,0.001738375,4.548375,7.906779661
4.4,4804,39.4,8,0.001665279,4.925,8.201498751
4.5,4996,41.44,8,0.001601281,5.18,8.294635709
4.6,5160,43.053,9,0.001744186,4.783666667,8.343604651
4.7,5346,45.62,9,0.001683502,5.068888889,8.533482978
4.8,5534,47.82,9,0.00162631,5.313333333,8.641127575
4.9,5726,50.71,9,0.001571778,5.634444444,8.856095005
5,5877,52.912,9,0.001531394,5.879111111,9.003232942
5.1,6034,55.093,9,0.001491548,6.121444444,9.130427577
5.2,6224,58.125,9,0.001446015,6.458333333,9.338849614
5.3,6375,59.694,9,0.001411765,6.632666667,9.363764706
5.4,6559,61.91,9,0.00137216,6.878888889,9.438938863
5.5,6714,63.732,10,0.001489425,6.3732,9.492403932
5.6,6876,65.748,10,0.001454334,6.5748,9.561954625
5.7,7036,68.13,10,0.001421262,6.813,9.683058556
5.8,7247,70.406,10,0.001379881,7.0406,9.715192493
5.9,7426,72.293,10,0.00134662,7.2293,9.735119849
6,7579,74.471,10,0.001319435,7.4471,9.825966486
6.1,7751,76.588,10,0.001290156,7.6588,9.881047607
6.2,7904,78.389,10,0.001265182,7.8389,9.91763664
6.3,8067,80.449,10,0.001239618,8.0449,9.972604438
6.4,8247,83.297,10,0.001212562,8.3297,10.10027889
6.5,8409,85.714,10,0.001189202,8.5714,10.19312641
6.6,8587,88.195,10,0.001164551,8.8195,10.27075812
6.7,8752,90.293,10,0.001142596,9.0293,10.31684186
6.8,8969,93.268,10,0.001114951,9.3268,10.39892965
6.9,9161,95.579,10,0.001091584,9.5579,10.43324965
7,9296,98.117,10,0.001075731,9.8117,10.55475473
7.1,9479,100.685,10,0.001054964,10.0685,10.62190104
