base_bid,impressions,cost,clicks,ctr,cpc
0.4,3938,80.796,10,0.00253936008125952,8.0796
0.5,5091,111.007,10,0.00196425063838146,11.1007
0.6,6099,139.235,10,0.00163961305131989,13.9235
0.7,7732,176.098,10,0.00129332643559234,17.6098
0.8,8970,211.023,11,0.0012263099219621,19.1839090909091
0.9,10783,260.299,14,0.00129833997959751,18.5927857142857
1,12492,297.178,17,0.00136087095741274,17.4810588235294
1.1,14050,329.903,19,0.00135231316725979,17.3633157894737
1.2,15444,361.094,20,0.00129500129500129,18.0547
1.3,17310,397.056,21,0.00121317157712305,18.9074285714286
1.4,19414,437.077,22,0.00113320284330895,19.8671363636364
1.5,20836,466.167,23,0.00110385870608562,20.2681304347826
1.6,22424,498.227,25,0.0011148769175883,19.92908
1.7,25037,551.703,27,0.00107840396213604,20.4334444444444
1.8,26719,585.503,27,0.00101051686066095,21.6852962962963
1.9,29771,646.58,29,0.00097410231433274,22.2958620689655
2,31659,682.05,29,0.000916011244827695,23.5189655172414
2.1,33514,721.924,29,0.000865310019693263,24.8939310344828
2.2,34950,750.197,29,0.000829756795422031,25.8688620689655
2.3,36158,773.743,29,0.000802035510813651,26.6807931034483
2.4,38227,817.633,29,0.000758626101969812,28.1942413793103
2.5,41709,888.512,30,0.000719269222469971,29.6170666666667
2.6,43305,924.123,32,0.000738944694608013,28.87884375
2.7,46721,996.32,32,0.000684916846814067,31.135
2.8,48702,1040.985,34,0.000698123280358096,30.6172058823529
2.9,50843,1094.662,34,0.000668725291583895,32.1959411764706
3,52309,1133.436,34,0.00064998375040624,33.3363529411765
3.1,58694,1491.062,40,0.000681500664463148,37.27655
3.2,60861,1594.529,42,0.000690097106521418,37.9649761904762
3.3,65986,1897.189,49,0.000742581759767223,38.7181428571429
3.4,71919,2280.284,58,0.00080646282623507,39.3152413793103
3.5,73605,2358.622,58,0.000787989946335167,40.6658965517241
3.6,76883,2557.128,62,0.000806420144895491,41.244
3.7,78154,2608.963,63,0.000806100775392174,41.4121111111111
3.8,79303,2646.013,66,0.000832250986721814,40.0911060606061
3.9,80651,2700.199,66,0.000818340752129546,40.9121060606061
4,82291,2758.342,67,0.000814183811109356,41.1692835820896
4.1,83724,2816.954,68,0.000812192441832688,41.4257941176471
4.2,84879,2858.78,69,0.00081292192415085,41.4315942028986
4.3,86443,2921.701,69,0.00079821385190241,42.3434927536232
4.4,87812,2976.198,70,0.000797157563886485,42.5171142857143
4.5,89331,3043.636,71,0.00079479687902296,42.8681126760563
4.6,90831,3107.087,72,0.000792680912904185,43.1539861111111
4.7,93403,3232.212,74,0.000792265773047975,43.6785405405405
4.8,95165,3309.098,74,0.000777596805548258,44.7175405405405
4.9,97542,3402.347,75,0.000768899550962662,45.3646266666667
5,99121,3473.052,77,0.000776828320941072,45.1045714285714
5.1,101541,3588.114,78,0.000768162614116465,46.0014615384615
5.2,103700,3696.96,80,0.00077145612343298,46.212
5.3,107713,3893.107,82,0.000761282296473035,47.4769146341463
5.4,108749,3944.861,83,0.000763225408969278,47.5284457831325
5.5,110599,4037.228,83,0.000750458864908363,48.6413012048193
5.6,113268,4164.327,83,0.000732775364621959,50.1726144578313
5.7,114691,4236.45,84,0.000732402716865316,50.4339285714286
5.8,116751,4344.824,85,0.000728045155930142,51.1155764705882
5.9,118179,4421.185,87,0.000736171401010332,50.8182183908046
6,119282,4477.079,87,0.000729364028101474,51.4606781609195
6.1,120187,4523.269,88,0.000732192333613452,51.4007840909091
6.2,121404,4585.839,89,0.000733089519290962,51.5262808988764
6.3,122986,4678.894,89,0.000723659603532109,52.5718426966292
6.4,124369,4757.771,89,0.000715612411453015,53.4581011235955
6.5,126691,4877.457,90,0.000710389846161132,54.1939666666667
6.6,128473,4976.412,92,0.000716103772777159,54.0914347826087
6.7,130377,5083.682,93,0.000713315998987551,54.663247311828
6.8,131589,5151.552,94,0.000714345424009606,54.8037446808511
6.9,134063,5283.704,95,0.000708622065745209,55.6179368421053
7,136302,5400.544,98,0.00071899165089287,55.1075918367347
7.1,138403,5527.285,98,0.000708077137056278,56.4008673469388
7.2,139449,5586.494,98,0.000702765885736004,57.0050408163265
7.3,143904,5881.285,99,0.000687958639092729,59.4069191919192
7.4,145280,5979.049,100,0.000688325991189427,59.79049
7.5,148112,6190.185,101,0.000681916387598574,61.2889603960396
7.6,150585,6352.678,101,0.00067071753494704,62.897801980198
