,Values,Impressions,Spend,Clicks,CTR,CPM,CPC
0,1,71,0.0,0,0.0,0.0,nan
1,2,360,0.289,0,0.0,0.0,inf
2,3,798,1.165,0,0.0,0.0,inf
3,4,882,1.417,0,0.0,0.0,inf
4,5,2133,6.421,0,0.0,0.0,inf
5,6,7646,33.986,1,0.0131,0.0,33.99
6,7,9407,44.552,8,0.085,0.0,5.57
7,8,10850,54.653,8,0.0737,0.01,6.83
8,9,12051,64.261,8,0.0664,0.01,8.03
9,10,13364,76.078,8,0.0599,0.01,9.51
10,11,15966,102.098,8,0.0501,0.01,12.76
11,12,17913,123.515,8,0.0447,0.01,15.44
12,13,19572,143.423,9,0.046,0.01,15.94
13,14,21058,162.741,10,0.0475,0.01,16.27
14,15,22622,184.637,10,0.0442,0.01,18.46
15,16,24081,206.522,11,0.0457,0.01,18.77
16,17,26289,241.85,11,0.0418,0.01,21.99
17,18,28559,280.44,12,0.042,0.01,23.37
18,19,30733,319.572,13,0.0423,0.01,24.58
19,20,32248,348.357,13,0.0403,0.01,26.8
20,21,45543,614.257,15,0.0329,0.01,40.95
21,22,49203,691.117,16,0.0325,0.01,43.19
22,23,53659,789.149,17,0.0317,0.01,46.42
23,24,55064,821.464,17,0.0309,0.01,48.32
24,25,56765,862.288,18,0.0317,0.02,47.9
25,26,58372,902.463,19,0.0325,0.02,47.5
26,27,59348,927.839,19,0.032,0.02,48.83
27,28,60730,965.153,20,0.0329,0.02,48.26
28,29,61935,998.893,22,0.0355,0.02,45.4
29,30,63031,1030.677,22,0.0349,0.02,46.85
30,31,66264,1127.667,22,0.0332,0.02,51.26
31,32,71548,1291.471,23,0.0321,0.02,56.15
32,33,73154,1342.863,23,0.0314,0.02,58.39
33,34,75254,1412.163,25,0.0332,0.02,56.49
34,35,77000,1471.527,26,0.0338,0.02,56.6
35,36,77716,1496.587,26,0.0335,0.02,57.56
36,37,79449,1558.975,27,0.034,0.02,57.74
37,38,80601,1601.599,29,0.036,0.02,55.23
38,39,82112,1659.017,29,0.0353,0.02,57.21
39,40,83032,1694.897,29,0.0349,0.02,58.44
40,41,85361,1788.057,30,0.0351,0.02,59.6
41,42,86683,1842.259,31,0.0358,0.02,59.43
42,43,88678,1926.049,32,0.0361,0.02,60.19
43,44,89727,1971.156,34,0.0379,0.02,57.98
44,45,91478,2048.2,35,0.0383,0.02,58.52
45,46,93170,2124.34,36,0.0386,0.02,59.01
46,47,94388,2180.368,37,0.0392,0.02,58.93
47,48,96134,2262.43,38,0.0395,0.02,59.54
48,49,97143,2310.862,39,0.0401,0.02,59.25
49,50,99058,2404.697,40,0.0404,0.02,60.12
50,51,112349,3069.247,43,0.0383,0.03,71.38
51,52,114762,3192.31,46,0.0401,0.03,69.4
52,53,119770,3452.726,49,0.0409,0.03,70.46
53,54,120791,3506.839,50,0.0414,0.03,70.14
54,55,121675,3554.575,50,0.0411,0.03,71.09
55,56,129234,3970.32,50,0.0387,0.03,79.41
56,57,130613,4047.544,50,0.0383,0.03,80.95
57,58,132000,4126.603,52,0.0394,0.03,79.36
58,59,133350,4204.903,52,0.039,0.03,80.86
59,60,135288,4319.245,53,0.0392,0.03,81.5
60,61,137531,4453.825,53,0.0385,0.03,84.03
61,62,139137,4551.791,54,0.0388,0.03,84.29
62,63,140021,4606.599,55,0.0393,0.03,83.76
63,64,141479,4698.453,55,0.0389,0.03,85.43
64,65,143184,4807.573,56,0.0391,0.03,85.85
65,66,144111,4867.828,57,0.0396,0.03,85.4
66,67,145747,4975.804,57,0.0391,0.03,87.29
67,68,147595,5099.62,57,0.0386,0.03,89.47
68,69,148729,5176.732,58,0.039,0.03,89.25
69,70,149629,5238.832,58,0.0388,0.04,90.32
70,71,166766,6438.422,74,0.0444,0.04,87.01
71,72,167825,6513.611,74,0.0441,0.04,88.02
72,73,168667,6574.235,74,0.0439,0.04,88.84
73,74,173470,6924.854,77,0.0444,0.04,89.93
74,75,174505,7001.444,77,0.0441,0.04,90.93
75,76,175442,7071.719,79,0.045,0.04,89.52
76,77,178249,7285.051,81,0.0454,0.04,89.94
77,78,187806,8020.94,95,0.0506,0.04,84.43
78,79,188659,8087.474,97,0.0514,0.04,83.38
79,80,189279,8136.454,97,0.0512,0.04,83.88
80,81,197764,8815.254,104,0.0526,0.04,84.76
81,82,198802,8899.332,106,0.0533,0.04,83.96
82,83,199565,8961.898,107,0.0536,0.04,83.76
83,84,200327,9025.144,107,0.0534,0.05,84.35
84,85,204032,9336.364,110,0.0539,0.05,84.88
