,Values,Impressions,Spend,Clicks,CTR,CPM,CPC
0,1,0,0.0,0,nan,nan,nan
1,2,36,0.0,0,0.0,0.0,nan
2,3,152,0.109,0,0.0,0.0,inf
3,4,311,0.367,0,0.0,0.0,inf
4,5,429,0.573,0,0.0,0.0,inf
5,6,719,1.595,0,0.0,0.0,inf
6,7,1704,6.179,0,0.0,0.0,inf
7,8,2679,11.099,0,0.0,0.0,inf
8,9,3642,16.198,3,0.0824,0.0,5.4
9,10,4441,20.903,1,0.0225,0.0,20.9
10,11,5260,25.877,2,0.038,0.0,12.94
11,12,6150,32.121,3,0.0488,0.01,10.71
12,13,7064,39.389,4,0.0566,0.01,9.85
13,14,8019,47.335,6,0.0748,0.01,7.89
14,15,8789,53.848,3,0.0341,0.01,17.95
15,16,9769,63.339,4,0.0409,0.01,15.83
16,17,10381,69.863,5,0.0482,0.01,13.97
17,18,11304,79.295,7,0.0619,0.01,11.33
18,19,12323,91.441,8,0.0649,0.01,11.43
19,20,13362,103.308,5,0.0374,0.01,20.66
20,21,14066,113.549,6,0.0427,0.01,18.92
21,22,15583,137.639,7,0.0449,0.01,19.66
22,23,17147,162.663,6,0.035,0.01,27.11
23,24,18578,187.833,6,0.0323,0.01,31.31
24,25,20127,213.578,8,0.0397,0.01,26.7
25,26,21236,234.923,9,0.0424,0.01,26.1
26,27,22737,260.09,10,0.044,0.01,26.01
27,28,24289,288.546,12,0.0494,0.01,24.05
28,29,25477,310.968,11,0.0432,0.01,28.27
29,30,26721,334.272,12,0.0449,0.01,27.86
30,31,27860,357.453,12,0.0431,0.01,29.79
31,32,29135,381.91,12,0.0412,0.01,31.83
32,33,29989,402.012,9,0.03,0.01,44.67
33,34,31397,430.218,9,0.0287,0.01,47.8
34,35,32736,459.978,11,0.0336,0.01,41.82
35,36,34053,491.899,14,0.0411,0.01,35.14
36,37,35189,517.815,14,0.0398,0.01,36.99
37,38,36396,546.709,10,0.0275,0.02,54.67
38,39,37491,572.88,13,0.0347,0.02,44.07
39,40,38642,599.797,15,0.0388,0.02,39.99
40,41,39642,624.191,15,0.0378,0.02,41.61
41,42,40557,649.458,17,0.0419,0.02,38.2
42,43,41831,681.723,16,0.0382,0.02,42.61
43,44,42770,707.04,14,0.0327,0.02,50.5
44,45,44202,743.091,16,0.0362,0.02,46.44
45,46,45124,769.464,12,0.0266,0.02,64.12
46,47,45833,789.554,14,0.0305,0.02,56.4
47,48,46904,822.35,20,0.0426,0.02,41.12
48,49,47920,850.885,17,0.0355,0.02,50.05
49,50,49150,886.052,17,0.0346,0.02,52.12
50,51,49686,906.943,14,0.0282,0.02,64.78
51,52,51071,948.844,17,0.0333,0.02,55.81
52,53,52281,993.06,18,0.0344,0.02,55.17
53,54,53778,1041.336,20,0.0372,0.02,52.07
54,55,54942,1091.839,27,0.0491,0.02,40.44
55,56,56113,1131.272,21,0.0374,0.02,53.87
56,57,57279,1181.908,18,0.0314,0.02,65.66
57,58,58756,1234.157,22,0.0374,0.02,56.1
58,59,59915,1279.566,22,0.0367,0.02,58.16
59,60,61416,1340.648,28,0.0456,0.02,47.88
60,61,62218,1374.171,22,0.0354,0.02,62.46
61,62,63450,1427.21,27,0.0426,0.02,52.86
62,63,64694,1479.813,25,0.0386,0.02,59.19
63,64,65769,1524.056,21,0.0319,0.02,72.57
64,65,66813,1565.289,26,0.0389,0.02,60.2
65,66,68382,1631.77,24,0.0351,0.02,67.99
66,67,69007,1664.193,32,0.0464,0.02,52.01
67,68,70424,1719.339,31,0.044,0.02,55.46
68,69,71370,1763.377,32,0.0448,0.02,55.11
69,70,72751,1820.948,30,0.0412,0.03,60.7
70,71,74020,1876.222,27,0.0365,0.03,69.49
71,72,75157,1928.888,32,0.0426,0.03,60.28
72,73,76467,1995.865,28,0.0366,0.03,71.28
73,74,77414,2049.68,30,0.0388,0.03,68.32
74,75,78939,2125.554,26,0.0329,0.03,81.75
75,76,80119,2185.112,38,0.0474,0.03,57.5
76,77,81055,2235.531,27,0.0333,0.03,82.8
77,78,82648,2317.683,34,0.0411,0.03,68.17
78,79,83740,2376.469,36,0.043,0.03,66.01
79,80,85158,2453.182,34,0.0399,0.03,72.15
80,81,86312,2519.636,42,0.0487,0.03,59.99
81,82,87789,2603.168,35,0.0399,0.03,74.38
82,83,89373,2678.48,39,0.0436,0.03,68.68
83,84,90453,2747.439,45,0.0497,0.03,61.05
84,85,92044,2833.355,41,0.0445,0.03,69.11
85,86,93175,2904.122,37,0.0397,0.03,78.49
86,87,94296,2973.795,48,0.0509,0.03,61.95
87,88,95871,3058.653,41,0.0428,0.03,74.6
88,89,96977,3134.253,38,0.0392,0.03,82.48
89,90,98267,3205.232,42,0.0427,0.03,76.32
90,91,99252,3272.606,39,0.0393,0.03,83.91
91,92,100627,3349.647,49,0.0487,0.03,68.36
92,93,101575,3417.811,39,0.0384,0.03,87.64
93,94,103291,3513.594,48,0.0465,0.03,73.2
94,95,104437,3587.272,48,0.046,0.03,74.73
